market_id,ric,ticker,slug,event_datetime_utc,event_date,event_quarter,n_rows_selected_horizons,n_snapshots_ok,any_ok_snapshot,loss_mean,loss_target,volume_num,market_cap_usd_asof,analysts_covering_asof,turnover_6m_avg_daily_volume,volatility_6m,selected_mean,selected_target,log_market_cap,analysts,log_turnover,log_volatility_6m,log_volume,approx_event_key,market_row_id,n_candidates_total,n_candidates_accepted,closest_candidate_time_diff_hours,matched_event_key,matched_universe_ric,matched_universe_ticker,matched_event_date,matched_event_datetime_utc,match_tier,match_rule,identifier_method,match_time_diff_hours,quarter_consistent,match_status,unmatched_reason
1139951,MKC,MKC,mkc-quarterly-earnings-nongaap-eps-01-22-2026-0pt88,2026-01-22T11:30:00Z,2026-01-22,NA,9,9,1,0.5527749999999998,0.616225,7078.918482,18202672101.63,15,2616610.42519685,0.013835240410116,1,1,23.62483423902322,15,14.777390689477894,0.013740407164258821,8.865017672779672,MKC__2026-01-22,33,2,1,0,MKC__2026-01-22,MKC,MKC,2026-01-22,2026-01-22T11:30:00Z,1,exact_ric_plus_event_date,ric_exact,0,TRUE,matched,NA
1160451,UBSI.N,UBSI,ubsi-quarterly-earnings-gaap-eps-01-23-2026-0pt86,2026-01-22T12:50:00Z,2026-01-22,NA,9,9,1,0.09348888888888877,0.065025,16311.868646,5659554793.62,5,23807.007874015748,0.014810667759805,1,1,22.456611067696745,5,10.077777268362592,0.014702060867284879,9.699709562798201,UBSI.N__2026-01-22,34,2,1,0,UBSI.N__2026-01-22,UBSI.N,UBSI,2026-01-22,2026-01-22T12:50:00Z,1,exact_ric_plus_event_date,ric_exact,0,TRUE,matched,NA
1175891,TXN.N,TXN,txn-quarterly-earnings-gaap-eps-01-27-2026-1pt31,2026-01-27T21:00:00Z,2026-01-27,NA,9,9,1,0.6195138888888887,0.6889000000000001,16829.861448,178307130000,40,92821.78571428572,0.018960981133822,1,1,25.906773349798925,40,11.438447424349617,0.018783462176564965,9.730969471139339,TXN.N__2026-01-27,35,2,1,0,TXN.N__2026-01-27,TXN.N,TXN,2026-01-27,2026-01-27T21:00:00Z,1,exact_ric_plus_event_date,ric_exact,0,TRUE,matched,NA
1175892,UNP,UNP,unp-quarterly-earnings-gaap-eps-01-27-2026-2pt87,2026-01-27T12:45:00Z,2026-01-27,NA,9,9,1,0.11551666666666646,0.19359999999999905,24229.932181,136219398158.85,28,3810927.968,0.011645206077166,1,1,25.637532644594266,28,15.153383541004782,0.011577922515055282,10.09538528525378,UNP__2026-01-27,36,2,1,0,UNP__2026-01-27,UNP,UNP,2026-01-27,2026-01-27T12:45:00Z,1,exact_ric_plus_event_date,ric_exact,0,TRUE,matched,NA
1198857,LMT,LMT,lmt-quarterly-earnings-gaap-eps-01-29-2026-6pt2,2026-01-29T12:20:00Z,2026-01-29,NA,9,9,1,0.07482777777777767,0.08410000000000001,69174.858682,136886238788,24,1504260.9212598426,0.013971843541882,1,1,25.64241604401301,24,14.223812918103443,0.013875137073285878,11.144407217762037,LMT__2026-01-29,37,2,1,0,LMT__2026-01-29,LMT,LMT,2026-01-29,2026-01-29T12:20:00Z,1,exact_ric_plus_event_date,ric_exact,0,TRUE,matched,NA
1198858,KMI,KMI,kmi-quarterly-earnings-gaap-eps-01-21-2026-0pt36,2026-01-21T21:05:00Z,2026-01-21,NA,9,7,1,0.17378214285714272,0.19359999999999905,13946.73835,62204300504.4,20,13844949.322834646,0.012301118310987,1,1,24.85368997424361,20,16.44343112648648,0.012226074344854152,9.543072648657732,KMI__2026-01-21,38,2,1,0,KMI__2026-01-21,KMI,KMI,2026-01-21,2026-01-21T21:05:00Z,1,exact_ric_plus_event_date,ric_exact,0,TRUE,matched,NA
1230449,PLTR.N,PLTR,pltr-quarterly-earnings-nongaap-eps-02-02-2026-0pt23,2026-02-02T21:05:00Z,2026-02-02,NA,9,9,1,0.01296666666666622,0.004899999999999,65565.239932,349240609837.42,31,313738.90476190473,0.030370413431162,1,1,26.579026948071835,31,12.656319592852796,0.029918362282533188,11.090816207279117,PLTR.N__2026-02-02,39,2,1,0,PLTR.N__2026-02-02,PLTR.N,PLTR,2026-02-02,2026-02-02T21:05:00Z,1,exact_ric_plus_event_date,ric_exact,0,TRUE,matched,NA
1230450,DIS,DIS,dis-quarterly-earnings-nongaap-eps-02-02-2026-1pt57,2026-02-02T11:40:00Z,2026-02-02,NA,9,9,1,0.02986944444444389,0.007224999999999,39371.779874,199827439192.8,31,9638839.76190476,0.013982844768157,1,1,26.02072002702881,31,16.081311406441323,0.013885986651275488,10.580829990385908,DIS__2026-02-02,40,2,1,0,DIS__2026-02-02,DIS,DIS,2026-02-02,2026-02-02T11:40:00Z,1,exact_ric_plus_event_date,ric_exact,0,TRUE,matched,NA
1230451,PEP.N,PEP,pep-quarterly-earnings-nongaap-eps-02-03-2026-2pt24,2026-02-03T13:30:00Z,2026-02-03,NA,9,9,1,0.024855555555555443,0.011024999999999,15918.65315,209958294012.39,23,79794.912,0.012132785119526,1,1,26.0701747479993,23,11.287227554055523,0.012059772850333926,9.675309672100731,PEP.N__2026-02-03,41,2,1,0,PEP.N__2026-02-03,PEP.N,PEP,2026-02-03,2026-02-03T13:30:00Z,1,exact_ric_plus_event_date,ric_exact,0,TRUE,matched,NA
1230452,PFE,PFE,pfe-quarterly-earnings-nongaap-eps-02-03-2026-0pt57,2026-02-03T11:45:00Z,2026-02-03,NA,9,9,1,0.015758138888888554,0.003844,30780.961008,150330107674.88,26,57280324.856,0.016661295954953,1,1,25.736099430842668,26,17.8634677694273,0.016524019269997886,10.334684115824784,PFE__2026-02-03,42,2,1,0,PFE__2026-02-03,PFE,PFE,2026-02-03,2026-02-03T11:45:00Z,1,exact_ric_plus_event_date,ric_exact,0,TRUE,matched,NA
