market_id,ticker,slug,ric,signal_bin,signal_bin_id,signal_value,release_dt_ny,purchase_date,event_trading_date,n_days_observed,abnormal_return,window_name,start_day,end_day
668521,QUBT,qubt-quarterly-earnings-gaap-eps-11-14-2025-neg0pt06,QUBT.N,0.0-0.2,1,0.17500000000000002,2025-11-14T21:05:00Z,2025-11-14,2025-11-17,2,0.17052612979271825,"CAR[0,1]",0,1
668521,QUBT,qubt-quarterly-earnings-gaap-eps-11-14-2025-neg0pt06,QUBT.N,0.0-0.2,1,0.17500000000000002,2025-11-14T21:05:00Z,2025-11-14,2025-11-17,4,-0.0065739493801904025,"CAR[0,3]",0,3
668521,QUBT,qubt-quarterly-earnings-gaap-eps-11-14-2025-neg0pt06,QUBT.N,0.0-0.2,1,0.17500000000000002,2025-11-14T21:05:00Z,2025-11-14,2025-11-17,6,0.04156931898132872,"CAR[0,5]",0,5
1099187,STT,stt-quarterly-earnings-gaap-eps-01-16-2026-2pt67,STT,0.2-0.4,2,0.325,2026-01-16T12:30:00Z,2026-01-15,2026-01-16,11,-0.04589001946979878,"CAR[-5,5]",-5,5
1099187,STT,stt-quarterly-earnings-gaap-eps-01-16-2026-2pt67,STT,0.2-0.4,2,0.325,2026-01-16T12:30:00Z,2026-01-15,2026-01-16,1,-0.06009766021629932,AR[0],0,0
1099187,STT,stt-quarterly-earnings-gaap-eps-01-16-2026-2pt67,STT,0.2-0.4,2,0.325,2026-01-16T12:30:00Z,2026-01-15,2026-01-16,2,-0.054776251833705575,"CAR[0,1]",0,1
1099187,STT,stt-quarterly-earnings-gaap-eps-01-16-2026-2pt67,STT,0.2-0.4,2,0.325,2026-01-16T12:30:00Z,2026-01-15,2026-01-16,4,-0.05243271784603531,"CAR[0,3]",0,3
1099187,STT,stt-quarterly-earnings-gaap-eps-01-16-2026-2pt67,STT,0.2-0.4,2,0.325,2026-01-16T12:30:00Z,2026-01-15,2026-01-16,6,-0.0664011687559283,"CAR[0,5]",0,5
1198857,LMT,lmt-quarterly-earnings-gaap-eps-01-29-2026-6pt2,LMT,0.2-0.4,2,0.29,2026-01-29T12:20:00Z,2026-01-28,2026-01-29,11,0.03728488655678212,"CAR[-5,5]",-5,5
1198857,LMT,lmt-quarterly-earnings-gaap-eps-01-29-2026-6pt2,LMT,0.2-0.4,2,0.29,2026-01-29T12:20:00Z,2026-01-28,2026-01-29,1,0.04191687208062976,AR[0],0,0
