snapshot_label,variable,n,min,p25,mean,median,p75,max
3d,seconds_before_close,622,259126,259322,264674.3553054662,259436.5,259665.75,345432
3d,snapshot_offset_seconds,622,259200,259200,259200,259200,259200,259200
3d,turnover_6m_avg_daily_volume,618,319.7345132743363,71751.23083784449,3109298.124694886,543683.4523809524,2867423.6471653543,85155289.25
3d,turnover_6m_sum_volume,618,36130,9159691,392018166.5744337,68504115,363213626.75,10899877024
3d,val_eikon_eps_stddev_estimate,616,0,0.020545,0.11642688311688312,0.04577500000000001,0.088045,12.40225
3d,val_surprise,617,-6.3629999999999995,0.01,0.10239546191247953,0.06,0.169999999999999,4.450000000000001
3d,volatility_6m,618,0.009027083607946,0.015605623083369248,0.02518341412238808,0.0207804046654765,0.03047515446868725,0.15173449538734302
3d,volume_num,618,1336.252219,7966.72643825,27466.098190855988,13638.6844475,24787.92373775,995129.929459
2d,active_trading_hours,636,49.055,164.27055555555555,260.0154502969951,253.87277777777777,335.04263888888886,1326.8538888888888
2d,analysts_covering,633,1,13,22.31911532385466,22,29,71
2d,analysts_covering_asof,633,1,13,22.31911532385466,22,29,71
2d,horizon_seconds,636,172800,172800,172800,172800,172800,172800
2d,id,636,549606,647866.75,899562.2091194969,675509.5,1269436.75,1494761
2d,loss_dice,636,0.25,0.25,0.25,0.25,0.25,0.25
2d,loss_hist,636,0,0.053254437869822,0.1974207242899448,0.063224631628186,0.542677777777777,1
2d,loss_polymarket,636,2.5e-7,0.0196,0.15540249882075438,0.055224999999999,0.20249999999999924,0.908208999999999
2d,market_cap_usd,633,38579430.85,4986305558.88,149294530078.1295,23197670000,88303452774.96,4686255000000
2d,market_cap_usd_asof,633,38579430.85,4986305558.88,149294530078.1295,23197670000,88303452774.96,4686255000000
2d,outcome_yes,636,0,0,0.7342767295597484,1,1,1
2d,p_dice,636,0.5,0.5,0.5,0.5,0.5,0.5
2d,p_dice_0p5,636,0.5,0.5,0.5,0.5,0.5,0.5
2d,p_hist,636,0.5,0.7456140350877191,0.7691510637648947,0.756788581258191,0.7869822485207101,1
2d,p_hist_asof_end_minus_1d,636,0.5,0.7456140350877191,0.7691510637648947,0.756788581258191,0.7869822485207101,1
2d,p_polymarket_yes,636,5e-4,0.635,0.7189253144654089,0.785,0.865,0.987
2d,price_yes,636,5e-4,0.635,0.7189253144654089,0.785,0.865,0.987
2d,seconds_before_close,636,172788,172915.75,177880.87421383648,173022,173247.5,259049
2d,snapshot_offset_seconds,636,172800,172800,172800,172800,172800,172800
2d,turnover_6m_avg_daily_volume,632,319.7345132743363,71502.12915826612,3068597.673206504,541561.2955729167,2842110.469055118,85155289.25
2d,turnover_6m_sum_volume,632,36130,9138368.25,386692477.2943038,66259145,359548710.25,10899877024
2d,val_eikon_eps_stddev_estimate,629,0,0.02097,0.1155260731319555,0.04607000000000001,0.08796000000000001,12.40225
2d,val_surprise,630,-6.3629999999999995,0.01,0.10089841269841249,0.06,0.169999999999999,4.450000000000001
2d,volatility_6m,632,0.009027083607946,0.0156531308605735,0.02536009945361603,0.0209111161591095,0.030572048067032752,0.15173449538734302
2d,volume_num,632,948.980932,7797.5265275,27061.817871841773,13546.863238,24135.157617999997,995129.929459
1d,active_trading_hours,638,35.521388888888886,163.93847222222223,259.3230512016719,252.24180555555557,335.0386111111111,1326.8538888888888
1d,analysts_covering,635,1,13,22.289763779527558,22,29,71
1d,analysts_covering_asof,635,1,13,22.289763779527558,22,29,71
1d,horizon_seconds,638,86400,86400,86400,86400,86400,86400
1d,id,638,549606,647869.5,900014.1802507837,675509.5,1270374.25,1494761
1d,loss_dice,638,0.25,0.25,0.25,0.25,0.25,0.25
1d,loss_hist,638,0,0.053254437869822,0.19772838109889979,0.063224631628186,0.542677777777777,1
1d,loss_polymarket,638,2.499999999999449e-7,0.0169,0.15266742163009364,0.050624999999999,0.18814375,0.956484
1d,market_cap_usd,635,38579430.85,5082911651.48,150466751288.8173,23197670000,88642145478.38,4686255000000
1d,market_cap_usd_asof,635,38579430.85,5082911651.48,150466751288.8173,23197670000,88642145478.38,4686255000000
1d,outcome_yes,638,0,0,0.7335423197492164,1,1,1
1d,p_dice,638,0.5,0.5,0.5,0.5,0.5,0.5
1d,p_dice_0p5,638,0.5,0.5,0.5,0.5,0.5,0.5
1d,p_hist,638,0.5,0.7456140350877191,0.7691287977116226,0.756788581258191,0.7868658998736786,1
1d,p_hist_asof_end_minus_1d,638,0.5,0.7456140350877191,0.7691287977116226,0.756788581258191,0.7868658998736786,1
1d,p_polymarket_yes,638,5e-4,0.615,0.7170470219435737,0.79,0.87,0.9995
1d,price_yes,638,5e-4,0.615,0.7170470219435737,0.79,0.87,0.9995
1d,seconds_before_close,638,86326,86514.25,92212.07523510972,86624.5,86836.5,206174
1d,snapshot_offset_seconds,638,86400,86400,86400,86400,86400,86400
1d,turnover_6m_avg_daily_volume,634,319.7345132743363,71235.2312247984,3059058.3710244973,536632.6209062501,2826256.260393701,85155289.25
1d,turnover_6m_sum_volume,634,36130,9102164.75,385490371.318612,65875634.5,356837048,10899877024
1d,val_eikon_eps_stddev_estimate,631,0,0.02103,0.46543019017432646,0.04607000000000001,0.08813000000000001,220.97746
1d,val_surprise,632,-6.3629999999999995,0.01,1.1938296360759497,0.06,0.169999999999999,690.8643300000003
