"model_class","model","term","estimate","std.error","statistic","p.value","conf.low","conf.high","stars","term_label","outcome_group","spec_group","conf.low_boot","conf.high_boot","n_boot","n_boot_success","conf.low_hc3","conf.high_hc3","model_plot"
"OLS","Loss at 6h | Full","eps_stddev",0.325134393533017,0.119013606931815,2.73190941704078,0.00647823745057976,0.106578494047092,0.565856075165608,"***","Std. dev. of analyst estimates","Loss at 6h","Full",0.106578494047092,0.565856075165608,25000,25000,0.0914105398807327,0.558858247185301,"Loss at 6h | Full"
"OLS","Loss at 6h | Full","surprise",-0.298825967604586,0.0492365589927867,-6.06918870281663,0.00000000225283864324812,-0.396160155279729,-0.206526764445873,"***","Earnings surprise","Loss at 6h","Full",-0.396160155279729,-0.206526764445873,25000,25000,-0.395518762697882,-0.202133172511289,"Loss at 6h | Full"
"OLS","Loss at 6h | Full","log_market_cap",-0.00882077960263618,0.0086538428747572,-1.01929047364217,0.308467190360259,-0.0252595525519334,0.00790473849733945,"","log(Market cap)","Loss at 6h","Full",-0.0252595525519334,0.00790473849733945,25000,25000,-0.0258155548870152,0.00817399568174283,"Loss at 6h | Full"
"OLS","Loss at 6h | Full","analysts",0.000315071941260325,0.00181639832370452,0.173459718140314,0.86234735039476,-0.00306873158782961,0.00383122226754289,"","Analysts covering","Loss at 6h","Full",-0.00306873158782961,0.00383122226754289,25000,25000,-0.00325204636502706,0.00388219024754771,"Loss at 6h | Full"
"OLS","Loss at 6h | Full","log_turnover",0.00531647093736716,0.00393215921395034,1.35204874678157,0.176858335347792,-0.0023413648293712,0.0129857782764263,"","log(6m avg. daily turnover + 1)","Loss at 6h","Full",-0.0023413648293712,0.0129857782764263,25000,25000,-0.00240566629006214,0.0130386081647965,"Loss at 6h | Full"
"OLS","Loss at 6h | Full","log_volatility_6m",-0.721702442323677,1.07218309374162,-0.673114924620881,0.501127857776178,-2.73905813379138,1.40552669601523,"","log(6m stock volatility)","Loss at 6h","Full",-2.73905813379138,1.40552669601523,25000,25000,-2.82730003700619,1.38389515235884,"Loss at 6h | Full"
"OLS","Loss at 6h | Full","open_time_days",-0.00126672192040061,0.00217327379202433,-0.582863477694038,0.560199553591885,-0.0055051585486623,0.00290637310131759,"","Market open-to-resolution (days)","Loss at 6h","Full",-0.0055051585486623,0.00290637310131759,25000,25000,-0.00553468706160036,0.00300124322079915,"Loss at 6h | Full"
"Fractional logit","Mean loss | Ex-ante","eps_stddev",1.10939785732481,0.650054144892461,1.70662377286794,0.0878920036256337,-0.175933002173159,2.34693303746336,"*","Std. dev. of analyst estimates","Mean loss across selected horizons","Ex-ante",-0.175933002173159,2.34693303746336,25000,25000,-0.164684854665393,2.38348056931502,"Mean loss | Ex-ante"
"Fractional logit","Mean loss | Ex-ante","log_market_cap",-0.111081335002068,0.0546015390400385,-2.03439934029357,0.0419113483327671,-0.220781610623427,-0.00509903470744311,"**","log(Market cap)","Mean loss across selected horizons","Ex-ante",-0.220781610623427,-0.00509903470744311,25000,25000,-0.218098385021001,-0.00406428498313488,"Mean loss | Ex-ante"
"Fractional logit","Mean loss | Ex-ante","analysts",0.00142094693484082,0.00746410763606771,0.190370638276247,0.84901870418371,-0.0129265165417101,0.0157435776908775,"","Analysts covering","Mean loss across selected horizons","Ex-ante",-0.0129265165417101,0.0157435776908775,25000,25000,-0.0132084352085823,0.0160503290782639,"Mean loss | Ex-ante"
