"market_id","n_snapshots","loss_mean","loss_target","volumeNum","volume_per_analyst","val_eikon_eps_stddev_estimate","val_surprise","market_cap_usd_asof","analysts_covering_asof","turnover_6m_avg_daily_volume","volatility_6m","open_time_days","log_volume","log_volume_per_analyst","eps_stddev","surprise","log_market_cap","analysts","log_turnover","log_volatility_6m","firm_id","firm_market_number","prior_markets_for_firm","post_first_market"
"657065",9,0.182552777777778,0.087025,5755.113866,639.457096222222,0.02972,0.03,15098524355.91,9,88588.734375,0.013007530342588,7.238125,8.65801784995197,6.46218213427232,0.02972,0.03,23.4378628512177,9,11.3917712650383,0.0129236589433469,"NWSA",1,0,0
"657071",9,0.342702777777778,0.3249,3456.330055,864.08251375,0.08258,0.209999999999999,14955120188.96,4,1533829.03125,0.016557153455834,7.2775462962963,8.23764894232911,6.76282489400089,0.08258,0.209999999999999,23.4283195657035,4,14.24327845376,0.0164215782369252,"FNF",1,0,0
"657072",8,0.5956875,0.330625,3173.460259,151.117155190476,0.17446,-0.79,12859850729.88,21,966175.4140625,0.01706644893303,6.82814814814815,8.23764894232911,5.18136494140678,0.17446,-0.31,23.2773759483697,21,13.7811017197742,0.0169224531158804,"H",1,0,0
"657073",9,0.0247416666666667,0.0196,15622.318359,600.858398423077,0.01275,0.219999999999999,10353981106.89,26,24574.1171875,0.018932833456849,7.22527777777778,9.65651984378861,6.40002219907428,0.01275,0.219999999999999,23.0606369307084,26,10.1094897135696,0.0187558378943053,"AKAM",1,0,0
"657079",8,0.042165625,0.04,6760.015133,260.000582038462,0.52621,1.67,9278638410,26,178642.65625,0.037547813213707,6.86094907407407,8.81892832536653,5.56452263735263,0.334929,0.62,22.9509806499193,26,12.0931483534452,0.0368600570860939,"MRNA",1,0,0
"657080",9,0.0139166666666667,0.00422499999999999,25806.338777,1985.10298284615,0.02052,0.089999999999999,7495678129.37,13,51103.046875,0.015000503934424,7.19622685185185,10.1584141791828,7.59392969766463,0.02052,0.089999999999999,22.7375924419758,13,10.8416189682615,0.0148891089807446,"DBX",1,0,0
"657085",9,0.0798472222222222,0.133225,13116.459201,690.339957947368,0.00938,0.22,4532460860.07,19,21231.8984375,0.02786507985869,7.19284722222222,9.48169938528349,6.53863168244869,0.00938,0.22,22.2345308651605,19,9.963307070932,0.0274839131459109,"OS",1,0,0
"657086",9,0.153580555555556,0.2025,11810.2227,407.24905862069,0.2013,0.07,5252948842.96,29,30272.8582677165,0.039141111768052,10.8735069444444,9.37680543473846,6.01187742595861,0.2013,0.07,22.3820554402377,29,10.3180398556612,0.0383945178787586,"CRSP",1,0,0
"657290",9,0.251930555555556,0.099225,5317.694975,279.878682894737,0.02053,0.03,2953891757.04,19,239189.1328125,0.044060619871508,7.17337962962963,8.57898324679226,5.63792284263933,0.02053,0.03,21.8063893775406,19,12.3850140494239,0.0431175527857625,"PTON",1,0,0
"657295",9,0.0399277777777778,0.0289,8405.379996,1200.76857085714,0.14874,0.599999999999999,3144586750.8,7,5008.34375,0.026463534440271,7.20030092592593,9.03674621987286,7.09154955983307,0.14874,0.599999999999999,21.8689483196735,7,9.28714543357954,0.0261194326766089,"ICUI",1,0,0
"657300",8,0.129778125,0.172225,10335.650925,738.260780357143,0.01155,0.069999999999999,2400538575.45,14,666010.6328125,0.031725851608596,6.84659722222222,9.24345120052939,6.60565074145635,0.01155,0.069999999999999,21.5989589555625,14,13.4090624160554,0.0312329841026905,"WRBY",1,0,0
"657371",6,0.154166666666667,0.133225,3680.877756,525.839679428571,0.01118,-0.01,920035620.22,7,14582.062992126,0.012456869755367,5.17199074074074,8.23764894232911,6.26689628865099,0.01118,-0.01,20.6399229448883,7,9.58761606526304,0.0123799213187692,"CGBD",1,0,0
"657435",6,0.354133333333333,0.455625,12842.033515,428.067783833333,0.08409,0.209999999999999,16169793986.85,30,606039.125984252,0.027499727359919,5.11537037037037,9.46055680440242,6.06161491072016,0.08409,0.209999999999999,23.5064107699997,30,13.3147014773548,0.0271284020450729,"RIVN",1,0,0
"657445",6,0.0111685833333333,0.00664225,41628.045143,770.88972487037,0.03213,0.03,416973999224.8,54,465309.484126984,0.034972652076307,5.06967592592593,10.6365534031736,6.64884169638952,0.03213,0.03,26.7562897048224,46,13.0504601695518,0.0343750032535565,"AMD",1,0,0
"657454",6,0.794620583333333,0.87329025,27982.267873,621.828174955556,0.04238,0.09,226338405550.84,45,142702.373015873,0.032765088788793,4.87699074074074,10.2393620345734,6.43427067810735,0.04238,0.09,26.1452970859725,45,11.8685234402975,0.0322397574894289,"SHOP",1,0,0
"658478",8,0.53705,0.7396,5333.213212,1066.6426424,0.03897,-0.18,2237612524.07,5,79449.59375,0.077397809914447,6.29387731481481,8.58189667619656,6.97320835903318,0.03897,-0.18,21.5286752969359,5,11.2828906451906,0.0521584717253257,"USAR",1,0,0
"658481",7,0.0924714285714286,0.0169,4495.889884,499.543320444444,0.02533,0.02,2238730685.38,9,374189.34375,0.023181860938086,5.86561342592593,8.41114129992432,6.21569414934422,0.02533,0.02,21.5291748838894,9,12.8325198874384,0.0229172433478804,"MRX",1,0,0
"658486",8,0.102153125,0.060025,8373.140564,761.194596727273,0.02342,0.079999999999999,1929618614.82,11,312364.796875,0.021919956525106,6.21121527777778,9.03290373220367,6.63620189936618,0.02342,0.079999999999999,21.3805882114344,11,12.6519302059185,0.0216831682887757,"YELP",1,0,0
"658487",7,0.125507142857143,0.0784,5060.60872,174.503748965517,0.00695,0.02,1862915446.08,29,12187919.6484375,0.030185377372002,5.86021990740741,8.5294396406066,5.18136494140678,0.00695,0.02,21.3454085416422,29,16.3159559084362,0.0297387640785115,"UAA",1,0,0
"658488",7,0.033825,0.027225,21450.536579,1191.69647661111,0.10879,0.099999999999999,1731412500.59,18,67173.1015625,0.034497166948607,5.82894675925926,9.97355155717509,7.08397196945191,0.10879,0.099999999999999,21.2722033866517,18,11.1150430588129,0.0339154796290071,"TRIP",1,0,0
"658493",7,0.623460714285714,0.275625,11276.418105,663.318712058824,0.04582,-0.089999999999999,1425355913.52,17,16979.0703125,0.032877594531724,5.81984953703704,9.33055760745171,6.49876202235942,0.04582,-0.089999999999999,21.0776873833549,17,9.73979560075782,0.0323486879873807,"PZZA",1,0,0
"658498",8,0.168128125,0.112225,10571.830012,755.130715142857,0.01526,-0.139999999999999,765876810.27,14,5798246.5859375,0.047544705311077,6.23068287037037,9.26604278304724,6.62821426486154,0.01526,-0.139999999999999,20.4565318926698,14,15.5730662895075,0.0464490500047383,"SG",1,0,0
"658499",8,0.244384375,0.0576,8964.650029,4482.3250145,0,-0.049999999999999,282719046.75,2,1331975.5625,0.073124604697282,6.21112268518519,9.10115589082843,8.4081202408583,0.006301,-0.049999999999999,20.1007726202039,3,14.1021745342069,0.0521584717253257,"GPRO",1,0,0
