"model_class","model","term","estimate","std.error","statistic","p.value","conf.low","conf.high","stars","term_label","outcome_group","spec_group","conf.low_boot","conf.high_boot","n_boot","n_boot_success","conf.low_hc3","conf.high_hc3"
"Fractional logit","Loss at 6h | Full","log_market_cap",-0.06457505187953,0.0660838529991965,-0.977168384541912,0.328485797067434,-0.194791803802974,0.0627536101521257,"","log(Market cap)","Loss at 6h","Full",-0.194791803802974,0.0627536101521257,25000,25000,-0.194097023717594,0.0649469199585343
"Fractional logit","Loss at 6h | Full","analysts",0.00396813861437047,0.0146740896490144,0.270418043591344,0.786838660242265,-0.0259917561386494,0.0307721579804082,"","Analysts covering","Loss at 6h","Full",-0.0259917561386494,0.0307721579804082,25000,25000,-0.0247925486036097,0.0327288258323507
"Fractional logit","Loss at 6h | Full","log_turnover",0.0420241246492227,0.0317649184490947,1.32297284869687,0.185844407242384,-0.0189503882366872,0.105244289795526,"","log(6m avg. daily turnover + 1)","Loss at 6h","Full",-0.0189503882366872,0.105244289795526,25000,25000,-0.0202339714828548,0.1042822207813
"Fractional logit","Loss at 6h | Full","log_volatility_6m",-4.52738669201944,7.78122254172608,-0.581834881053941,0.560677906499875,-20.1925885192112,10.2783547315027,"","log(6m stock volatility)","Loss at 6h","Full",-20.1925885192112,10.2783547315027,25000,25000,-19.7783026294938,10.7235292454549
"Fractional logit","Loss at 6h | Full","open_time_days",-0.0066367390494623,0.0177519394221213,-0.373859942378579,0.708508520206218,-0.0428117325866387,0.0265896013988526,"","Market open-to-resolution (days)","Loss at 6h","Full",-0.0428117325866387,0.0265896013988526,25000,25000,-0.0414299009725569,0.0281564228736323
"Fractional logit","Loss at 6h | Full","post_first_market",-0.0139350478420867,0.150412576036298,-0.0926454968680535,0.926185197881129,-0.30845230256115,0.277530266802789,"","After first firm market","Loss at 6h","Full",-0.30845230256115,0.277530266802789,25000,25000,-0.308738279695123,0.28086818401095
"Fractional probit","Mean loss | Ex-ante","(Intercept)",0.375396349017134,0.678623937567953,0.553172866790517,0.580145044626492,-0.940224306977195,1.73274469327423,"","Constant","Mean loss across selected horizons","Ex-ante",-0.940224306977195,1.73274469327423,25000,25000,-0.954682127662812,1.70547482569708
"Fractional probit","Mean loss | Ex-ante","eps_stddev",0.817308484059435,0.361000503740633,2.26400926201101,0.0235735451253417,0.108612318747198,1.52040381444822,"**","Std. dev. of analyst estimates","Mean loss across selected horizons","Ex-ante",0.108612318747198,1.52040381444822,25000,25000,0.109760498326977,1.52485646979189
"Fractional probit","Mean loss | Ex-ante","log_market_cap",-0.0700325192675965,0.0293720868802914,-2.38432221561309,0.0171106133570219,-0.12881604808514,-0.0135213152854903,"**","log(Market cap)","Mean loss across selected horizons","Ex-ante",-0.12881604808514,-0.0135213152854903,25000,25000,-0.127600751703749,-0.012464286831444
"Fractional probit","Mean loss | Ex-ante","analysts",0.0010499264801509,0.00397632402543926,0.264044497740578,0.791745630828359,-0.00669054320686281,0.00887751919642061,"","Analysts covering","Mean loss across selected horizons","Ex-ante",-0.00669054320686281,0.00887751919642061,25000,25000,-0.00674352540057137,0.00884337836087318
"Fractional probit","Mean loss | Ex-ante","log_turnover",0.0255511628152007,0.0147760787285859,1.72922486977341,0.0837688569432504,-0.00368979646773862,0.0552469653459291,"*","log(6m avg. daily turnover + 1)","Mean loss across selected horizons","Ex-ante",-0.00368979646773862,0.0552469653459291,25000,25000,-0.0034094193255561,0.0545117449559575
"Fractional probit","Mean loss | Ex-ante","log_volatility_6m",-4.37263052077156,3.22854508120967,-1.35436563863411,0.175619754471987,-10.9315052836406,1.75560642324312,"","log(6m stock volatility)","Mean loss across selected horizons","Ex-ante",-10.9315052836406,1.75560642324312,25000,25000,-10.7004626024065,1.95520156086334
